Designator,Mid X,Mid Y,Rotation,Layer
C1,109.526015,-81.158599,90.0,bottom
C2,111.933055,-81.181459,270.0,bottom
C3,115.921814,-95.801699,0.0,bottom
D1,104.893,-102.4,90.0,bottom
D2,125.75,-102.75,90.0,bottom
R1,117.594055,-81.181459,270.0,bottom
R2,119.915114,-81.171302,90.0,bottom
R3,111.45,-102.55,270.0,bottom
R4,108.670118,-75.108318,90.0,bottom
R5,121.055155,-75.18198,90.0,bottom
R6,112.25,-96.75,0.0,bottom
U1,114.8724,-89.0,270.0,bottom
U2,114.6873,-73.45,90.0,bottom
