BT1:1
C1:1
C2:1
C3:1
D1:1
D2:1
ISP1:1
J1:1
JP1:1
JP2:1
LED1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
S1:1
S2:1
U2:1
U3:1
